date,close,high,low,open
2015-10-07 00:00:00+00:00,199.41,199.83,197.48,198.9
2015-10-08 00:00:00+00:00,201.21,201.55,198.59,198.95
2015-10-09 00:00:00+00:00,201.33,201.9,200.58,201.38
2015-10-12 00:00:00+00:00,201.52,201.76,200.91,201.42
2015-10-13 00:00:00+00:00,200.25,202.16,200.05,200.65
2015-10-14 00:00:00+00:00,199.29,200.87,198.94,200.18
2015-10-15 00:00:00+00:00,202.35,202.36,199.64,200.08
2015-10-16 00:00:00+00:00,203.27,203.29,201.92,202.83
2015-10-19 00:00:00+00:00,203.37,203.37,202.13,202.5
2015-10-20 00:00:00+00:00,203.11,203.84,202.55,202.85
2015-10-21 00:00:00+00:00,201.85,203.79,201.65,203.61
2015-10-22 00:00:00+00:00,205.21,205.51,201.85,202.98
2015-10-23 00:00:00+00:00,207.52,207.95,206.3,207.25
2015-10-26 00:00:00+00:00,206.99,207.37,206.56,207.3
2015-10-27 00:00:00+00:00,206.57,207.0,205.79,206.2
2015-10-28 00:00:00+00:00,208.94,208.98,206.21,207.0
2015-10-29 00:00:00+00:00,208.89,209.27,208.21,208.35
2015-10-30 00:00:00+00:00,207.93,209.44,207.74,209.06
2015-11-02 00:00:00+00:00,210.39,210.62,208.17,208.32
2015-11-03 00:00:00+00:00,211.0,211.66,209.7,209.97
2015-11-04 00:00:00+00:00,210.38,211.5,209.72,211.35
2015-11-05 00:00:00+00:00,210.15,210.98,209.09,210.43
2015-11-06 00:00:00+00:00,210.04,210.32,208.46,209.74
2015-11-09 00:00:00+00:00,208.08,209.49,206.95,209.31
2015-11-10 00:00:00+00:00,208.56,208.6,207.19,207.51
2015-11-11 00:00:00+00:00,207.74,208.94,207.66,208.88
2015-11-12 00:00:00+00:00,204.84,207.06,204.82,206.5
2015-11-13 00:00:00+00:00,202.54,204.67,202.44,204.35
2015-11-16 00:00:00+00:00,205.62,205.69,202.18,202.32
2015-11-17 00:00:00+00:00,205.47,207.04,204.88,205.99
2015-11-18 00:00:00+00:00,208.73,208.9,205.99,206.04
2015-11-19 00:00:00+00:00,208.55,209.05,208.2,208.59
2015-11-20 00:00:00+00:00,209.31,210.12,208.86,209.45
2015-11-23 00:00:00+00:00,209.07,209.98,208.52,209.38
2015-11-24 00:00:00+00:00,209.35,209.83,207.41,207.87
2015-11-25 00:00:00+00:00,209.32,209.74,209.01,209.5
2015-11-27 00:00:00+00:00,209.56,209.8,208.86,209.43
2015-11-30 00:00:00+00:00,208.69,209.89,208.56,209.75
2015-12-01 00:00:00+00:00,210.68,210.82,209.11,209.44
2015-12-02 00:00:00+00:00,208.53,211.0,208.23,210.62
2015-12-03 00:00:00+00:00,205.61,209.15,204.75,208.83
2015-12-04 00:00:00+00:00,209.62,209.97,205.61,205.61
2015-12-07 00:00:00+00:00,208.35,209.73,207.2,209.23
2015-12-08 00:00:00+00:00,206.95,208.29,205.78,206.49
2015-12-09 00:00:00+00:00,205.34,208.68,204.18,206.19
2015-12-10 00:00:00+00:00,205.87,207.43,205.14,205.42
2015-12-11 00:00:00+00:00,201.88,204.14,201.51,203.35
2015-12-14 00:00:00+00:00,202.9,203.05,199.95,202.07
2015-12-15 00:00:00+00:00,205.03,206.11,202.87,204.7
2015-12-16 00:00:00+00:00,208.03,208.39,204.8,206.37
2015-12-17 00:00:00+00:00,204.86,208.48,204.84,208.4
2015-12-18 00:00:00+00:00,200.02,202.93,199.83,202.77
2015-12-21 00:00:00+00:00,201.67,201.88,200.09,201.41
2015-12-22 00:00:00+00:00,203.5,203.85,201.55,202.72
2015-12-23 00:00:00+00:00,206.02,206.07,204.58,204.69
2015-12-24 00:00:00+00:00,205.68,206.33,205.42,205.72
2015-12-28 00:00:00+00:00,205.21,205.26,203.94,204.86
2015-12-29 00:00:00+00:00,207.4,207.79,206.47,206.51
2015-12-30 00:00:00+00:00,205.93,207.21,205.76,207.11
2015-12-31 00:00:00+00:00,203.87,205.89,203.87,205.13
2016-01-04 00:00:00+00:00,201.0192,201.03,198.59,200.49
2016-01-05 00:00:00+00:00,201.36,201.9,200.05,201.4
2016-01-06 00:00:00+00:00,198.82,200.06,197.6,198.34
2016-01-07 00:00:00+00:00,194.05,197.44,193.59,195.33
2016-01-08 00:00:00+00:00,191.923,195.85,191.58,195.19
2016-01-11 00:00:00+00:00,192.11,193.41,189.82,193.01
2016-01-12 00:00:00+00:00,193.6608,194.55,191.14,193.82
2016-01-13 00:00:00+00:00,188.83,194.86,188.38,194.45
2016-01-14 00:00:00+00:00,191.93,193.26,187.66,189.55
2016-01-15 00:00:00+00:00,187.81,188.76,185.52,186.77
2016-01-19 00:00:00+00:00,188.06,190.11,186.2,189.96
2016-01-20 00:00:00+00:00,185.65,187.495,181.02,185.03
2016-01-21 00:00:00+00:00,186.69,188.87,184.64,186.21
2016-01-22 00:00:00+00:00,190.52,190.76,188.88,189.78
2016-01-25 00:00:00+00:00,187.64,190.15,187.41,189.92
2016-01-26 00:00:00+00:00,190.2,190.53,188.02,188.42
2016-01-27 00:00:00+00:00,188.13,191.56,187.06,189.58
2016-01-28 00:00:00+00:00,189.11,190.2,187.16,189.96
2016-01-29 00:00:00+00:00,193.7208,193.88,189.88,190.02
2016-02-01 00:00:00+00:00,193.65,194.58,191.84,192.53
2016-02-02 00:00:00+00:00,190.16,191.97,189.54,191.96
2016-02-03 00:00:00+00:00,191.3,191.78,187.1,191.41
2016-02-04 00:00:00+00:00,191.6,192.75,189.96,190.71
2016-02-05 00:00:00+00:00,187.95,191.6696,187.2,190.99
2016-02-08 00:00:00+00:00,185.42,186.12,182.8,185.77
2016-02-09 00:00:00+00:00,185.43,186.94,183.2,183.36
2016-02-10 00:00:00+00:00,185.27,188.34,185.12,186.41
2016-02-11 00:00:00+00:00,182.86,184.1,181.09,182.34
2016-02-12 00:00:00+00:00,186.63,186.65,183.96,184.96
2016-02-16 00:00:00+00:00,189.78,189.81,187.63,188.77
2016-02-17 00:00:00+00:00,192.88,193.32,191.01,191.16
2016-02-18 00:00:00+00:00,192.09,193.27,191.72,193.2
2016-02-19 00:00:00+00:00,192.0,192.18,190.45,191.17
2016-02-22 00:00:00+00:00,194.78,194.95,193.79,193.87
2016-02-23 00:00:00+00:00,192.32,194.32,192.18,194.0
